duration,wage increase first year,wage increase second year,wage increase third year,cost of living adjustment,working hours,pension,standby pay,shift differential,education allowance,statutory holidays,vacation,longterm disability assistance,contribution to dental plan,bereavement assistance,contribution to health plan
2.0,11.0,9.0,7.0,,7.0,,,,,2.0,1.0,,2.0,,2.0
0.0,1.0,,,2.0,7.0,3.0,4.0,6.0,1.0,5.0,2.0,2.0,2.0,0.0,3.0
2.0,7.0,3.0,,1.0,7.0,1.0,,9.0,,1.0,1.0,2.0,1.0,0.0,1.0
0.0,4.0,,,1.0,3.0,,,2.0,1.0,1.0,3.0,,,0.0,
1.0,7.0,4.0,,1.0,7.0,2.0,,6.0,,0.0,2.0,1.0,3.0,0.0,3.0
1.0,0.0,2.0,,1.0,5.0,1.0,,,2.0,2.0,3.0,2.0,3.0,,1.0
1.0,9.0,4.0,,,7.0,,,7.0,,0.0,3.0,,2.0,0.0,1.0
2.0,5.0,4.0,8.0,3.0,4.0,,,7.0,,3.0,3.0,,1.0,,1.0
0.0,0.0,,,2.0,7.0,3.0,5.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0
1.0,11.0,4.0,,1.0,4.0,,,8.0,1.0,1.0,2.0,2.0,1.0,,1.0
2.0,11.0,5.0,,1.0,5.0,1.0,0.0,9.0,,1.0,3.0,2.0,,0.0,1.0
2.0,6.0,4.0,7.0,2.0,,,,,2.0,,,,,,
1.0,0.0,1.0,,,2.0,,,9.0,2.0,2.0,1.0,,,0.0,
1.0,14.0,13.0,,,5.0,,,7.0,,4.0,,,1.0,0.0,
0.0,3.0,,,,2.0,,,4.0,,2.0,2.0,,,0.0,
1.0,2.0,2.0,,3.0,7.0,2.0,,,,1.0,2.0,,,,
2.0,9.0,6.0,7.0,,7.0,,,,,2.0,1.0,,2.0,,2.0
1.0,2.0,2.0,,,7.0,2.0,,,,1.0,2.0,,,0.0,
1.0,2.0,1.0,,,5.0,1.0,,,,0.0,1.0,,,0.0,
2.0,9.0,6.0,7.0,1.0,7.0,,,,1.0,1.0,1.0,,2.0,0.0,
1.0,9.0,4.0,,1.0,7.0,,,7.0,,2.0,1.0,2.0,1.0,,2.0
2.0,7.0,9.0,7.0,2.0,,1.0,,,,2.0,3.0,2.0,3.0,,2.0
1.0,12.0,6.0,,1.0,7.0,3.0,,,,1.0,1.0,2.0,1.0,,1.0
1.0,11.0,6.0,,1.0,5.0,,3.0,8.0,,1.0,2.0,2.0,,0.0,1.0
2.0,5.0,4.0,6.0,1.0,3.0,,,6.0,,3.0,3.0,,,,1.0
1.0,16.0,10.0,,,,,,,,1.0,,2.0,1.0,0.0,
0.0,0.0,,,1.0,5.0,2.0,,,2.0,1.0,1.0,1.0,3.0,1.0,3.0
2.0,5.0,4.0,6.0,3.0,0.0,,,,,,,,,0.0,
2.0,0.0,2.0,,3.0,,1.0,,,2.0,,,2.0,2.0,,
1.0,4.0,2.0,,1.0,1.0,,,,2.0,2.0,3.0,,,,1.0
1.0,8.0,5.0,,,5.0,,,7.0,,2.0,3.0,,1.0,0.0,1.0
1.0,9.0,11.0,,,2.0,3.0,,,2.0,1.0,2.0,,1.0,0.0,1.0
0.0,7.0,,,1.0,,2.0,,,2.0,1.0,1.0,1.0,3.0,1.0,3.0
0.0,11.0,,,,7.0,,,4.0,,1.0,1.0,,,,
1.0,7.0,9.0,,1.0,7.0,2.0,,6.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0
1.0,7.0,9.0,,3.0,2.0,,2.0,8.0,,4.0,3.0,,,0.0,
2.0,0.0,0.0,0.0,1.0,7.0,2.0,,,,0.0,2.0,,2.0,,1.0
0.0,3.0,,,1.0,5.0,1.0,4.0,6.0,1.0,5.0,2.0,2.0,2.0,0.0,3.0
1.0,10.0,7.0,,3.0,5.0,,,,,,,2.0,2.0,0.0,2.0
0.0,13.0,,,,5.0,,6.0,6.0,,5.0,3.0,,,0.0,
0.0,12.0,,,1.0,7.0,1.0,,7.0,,1.0,3.0,2.0,1.0,0.0,
,,,,,5.0,1.0,,8.0,,1.0,3.0,2.0,2.0,,2.0
2.0,13.0,12.0,4.0,,2.0,,,3.0,,5.0,3.0,2.0,1.0,,1.0
1.0,0.0,0.0,,1.0,7.0,2.0,,,1.0,1.0,1.0,2.0,3.0,,1.0
2.0,0.0,1.0,1.0,2.0,7.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,,1.0
1.0,5.0,4.0,,1.0,7.0,,,4.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0
2.0,0.0,1.0,0.0,,4.0,1.0,,,,0.0,1.0,,,,3.0
1.0,2.0,1.0,,2.0,6.0,1.0,,,,2.0,1.0,,,,
2.0,5.0,4.0,5.0,3.0,2.0,,,,,3.0,3.0,,,,1.0
2.0,4.0,0.0,3.0,2.0,7.0,2.0,,8.0,1.0,0.0,2.0,2.0,2.0,,1.0
1.0,9.0,4.0,,1.0,7.0,,,8.0,,1.0,1.0,,1.0,,1.0
1.0,9.0,6.0,,3.0,,,,,2.0,0.0,2.0,2.0,3.0,0.0,2.0
1.0,4.0,14.0,,,5.0,,1.0,5.0,2.0,1.0,2.0,2.0,2.0,,
1.0,9.0,4.0,,1.0,4.0,1.0,,,,1.0,1.0,,1.0,,
1.0,9.0,4.0,,,7.0,,,4.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0
2.0,0.0,1.0,,,2.0,2.0,,,,0.0,1.0,,,,1.0
2.0,15.0,8.0,2.0,,7.0,,,6.0,,2.0,2.0,,,0.0,
